T A_init L S Dead Code 
775 50.000000 45 0 979 2
785 0.000000 0 0 1024 0
785 2.500000 0 0 1024 0
785 5.000000 0 0 1024 0
785 7.500000 0 0 1024 0
785 10.000000 0 0 1024 0
785 12.500000 135 0 889 2
785 15.000000 165 0 859 2
785 17.500000 0 0 1024 0
785 20.000000 248 0 776 2
785 22.500000 205 0 819 2
785 25.000000 264 0 760 2
785 27.500000 206 0 818 2
785 30.000000 0 0 1024 0
785 32.500000 267 0 757 2
785 35.000000 329 0 695 2
785 37.500000 278 0 746 2
785 40.000000 397 0 627 2
785 42.500000 431 0 593 2
785 45.000000 395 0 629 2
785 47.500000 403 0 621 2
785 50.000000 421 0 603 2
795 0.000000 0 0 1024 0
795 2.500000 0 0 1024 0
795 5.000000 0 0 1024 0
795 7.500000 0 0 1024 0
795 10.000000 0 0 1024 0
795 12.500000 0 0 1024 0
795 15.000000 0 0 1024 0
795 17.500000 0 0 1024 0
795 20.000000 1002 0 22 2
795 22.500000 1012 0 12 2
795 25.000000 990 0 34 2
795 27.500000 1007 0 17 2
795 30.000000 1012 0 12 2
795 32.500000 1006 0 18 2
795 35.000000 0 0 1024 0
795 37.500000 997 0 27 2
795 40.000000 1002 0 22 2
795 42.500000 1008 0 16 2
795 45.000000 996 0 28 2
795 47.500000 1010 0 14 2
795 50.000000 0 0 1024 0
805 0.000000 0 0 1024 0
805 2.500000 0 0 1024 0
805 5.000000 0 0 1024 0
805 7.500000 0 0 1024 0
805 10.000000 0 0 1024 0
805 12.500000 0 0 1024 0
805 15.000000 0 0 1024 0
805 17.500000 0 0 1024 0
805 20.000000 0 0 1024 0
805 22.500000 0 0 1024 0
805 25.000000 1012 0 12 2
805 27.500000 0 0 1024 0
805 30.000000 0 0 1024 0
805 32.500000 1002 0 22 2
805 35.000000 995 0 29 2
805 37.500000 1001 0 23 2
805 40.000000 0 0 1024 0
805 42.500000 996 0 28 2
805 45.000000 1000 0 24 2
805 47.500000 1008 0 16 2
805 50.000000 1006 0 18 2
815 0.000000 0 0 1024 0
815 2.500000 0 0 1024 0
815 5.000000 0 0 1024 0
815 7.500000 0 0 1024 0
815 10.000000 0 0 1024 0
815 12.500000 0 0 1024 0
815 15.000000 0 0 1024 0
815 17.500000 0 0 1024 0
815 20.000000 0 0 1024 0
815 22.500000 0 0 1024 0
815 25.000000 0 0 1024 0
815 27.500000 0 0 1024 0
815 30.000000 0 0 1024 0
815 32.500000 0 0 1024 0
815 35.000000 0 0 1024 0
815 37.500000 1000 0 24 2
815 40.000000 1000 0 24 2
815 42.500000 1004 0 20 2
815 45.000000 998 0 26 2
815 47.500000 0 0 1024 0
815 50.000000 1001 0 23 2
825 0.000000 0 0 1024 0
825 2.500000 0 0 1024 0
825 5.000000 0 0 1024 0
825 7.500000 0 0 1024 0
825 10.000000 0 0 1024 0
825 12.500000 0 0 1024 0
825 15.000000 0 0 1024 0
825 17.500000 0 0 1024 0
825 20.000000 0 0 1024 0
825 22.500000 0 0 1024 0
825 25.000000 0 0 1024 0
825 27.500000 0 0 1024 0
825 30.000000 0 0 1024 0
825 32.500000 998 0 26 2
825 35.000000 0 0 1024 0
825 37.500000 999 0 25 2
825 40.000000 1006 0 18 2
825 42.500000 1000 0 24 2
825 45.000000 0 0 1024 0
825 47.500000 0 0 1024 0
825 50.000000 0 0 1024 0
