T A_init L S Dead Code 
1200 12.500000 0 0 1024 0
1200 15.000000 0 0 1024 0
1200 17.500000 0 0 1024 0
1200 20.000000 0 0 1024 0
1200 22.500000 0 0 1024 0
1200 25.000000 0 0 1024 0
1200 27.500000 0 0 1024 0
1200 30.000000 0 0 1024 0
1200 32.500000 0 0 1024 0
1200 35.000000 0 0 1024 0
1200 37.500000 0 0 1024 0
1200 40.000000 0 0 1024 0
1200 42.500000 0 0 1024 0
1200 45.000000 0 0 1024 0
1200 47.500000 0 0 1024 0
1200 50.000000 0 0 1024 0
1250 0.000000 0 0 1024 0
1250 5.000000 0 0 1024 0
1250 10.000000 0 0 1024 0
1250 15.000000 0 0 1024 0
1250 20.000000 0 0 1024 0
1250 25.000000 0 0 1024 0
1250 30.000000 0 0 1024 0
1250 35.000000 0 0 1024 0
1250 40.000000 0 0 1024 0
1250 45.000000 0 0 1024 0
1250 50.000000 0 0 1024 0
1300 0.000000 0 0 1024 0
1300 5.000000 0 0 1024 0
1300 10.000000 0 0 1024 0
1300 15.000000 0 0 1024 0
1300 20.000000 0 0 1024 0
1300 25.000000 0 0 1024 0
1300 30.000000 0 0 1024 0
1300 35.000000 0 0 1024 0
1300 40.000000 0 0 1024 0
1300 45.000000 0 0 1024 0
1300 50.000000 0 0 1024 0
1350 0.000000 0 0 1024 0
1350 5.000000 0 0 1024 0
1350 10.000000 0 0 1024 0
1350 15.000000 0 0 1024 0
1350 20.000000 0 0 1024 0
1350 25.000000 0 0 1024 0
1350 30.000000 0 0 1024 0
1350 35.000000 0 0 1024 0
1350 40.000000 0 0 1024 0
1350 45.000000 0 0 1024 0
1350 50.000000 0 0 1024 0
1400 0.000000 0 0 1024 0
1400 5.000000 0 0 1024 0
1400 10.000000 0 0 1024 0
1400 15.000000 0 0 1024 0
1400 20.000000 0 0 1024 0
1400 25.000000 0 0 1024 0
1400 30.000000 0 0 1024 0
1400 35.000000 0 0 1024 0
1400 40.000000 0 0 1024 0
1400 45.000000 0 0 1024 0
1400 50.000000 0 0 1024 0
1450 0.000000 0 0 1024 0
1450 5.000000 0 0 1024 0
1450 10.000000 0 0 1024 0
1450 15.000000 0 0 1024 0
1450 20.000000 0 0 1024 0
1450 25.000000 0 0 1024 0
1450 30.000000 0 0 1024 0
1450 35.000000 0 0 1024 0
1450 40.000000 0 0 1024 0
1450 45.000000 0 0 1024 0
1450 50.000000 0 0 1024 0
1500 0.000000 0 0 1024 0
1500 5.000000 0 0 1024 0
1500 10.000000 0 0 1024 0
1500 15.000000 0 0 1024 0
1500 20.000000 0 0 1024 0
1500 25.000000 0 0 1024 0
1500 30.000000 0 0 1024 0
1500 35.000000 0 0 1024 0
1500 40.000000 0 0 1024 0
1500 45.000000 0 0 1024 0
1500 50.000000 0 0 1024 0
720 0.000000 0 0 1024 0
720 2.000000 5 179 840 1
720 4.000000 211 294 519 1
720 6.000000 180 558 286 1
720 8.000000 293 687 44 1
720 10.000000 193 736 95 1
740 0.000000 0 0 1024 0
740 2.000000 0 0 1024 0
740 4.000000 41 965 18 1
740 6.000000 71 929 24 1
740 8.000000 62 939 23 1
740 10.000000 94 911 19 1
760 0.000000 0 0 1024 0
760 2.000000 0 0 1024 0
760 4.000000 876 130 18 1
760 6.000000 631 373 20 1
760 8.000000 533 465 26 1
760 10.000000 495 506 23 1
780 0.000000 0 0 1024 0
780 2.000000 0 0 1024 0
780 4.000000 31 402 591 1
780 6.000000 27 799 198 1
780 8.000000 369 632 23 1
780 10.000000 265 734 25 1
800 0.000000 0 0 1024 0
800 2.000000 0 0 1024 0
800 4.000000 0 0 1024 0
800 6.000000 38 966 20 1
800 8.000000 29 975 20 1
800 10.000000 53 952 19 1
820 0.000000 0 0 1024 0
820 2.000000 0 0 1024 0
820 4.000000 0 0 1024 0
820 6.000000 849 155 20 1
820 8.000000 439 560 25 1
820 10.000000 261 729 34 1
840 0.000000 0 0 1024 0
840 2.000000 0 0 1024 0
840 4.000000 0 0 1024 0
840 6.000000 0 0 1024 0
840 8.000000 3 131 890 1
840 10.000000 287 613 124 1
860 0.000000 0 0 1024 0
860 2.000000 0 0 1024 0
860 4.000000 0 0 1024 0
860 6.000000 0 0 1024 0
860 8.000000 0 0 1024 0
860 10.000000 77 922 25 1
880 0.000000 0 0 1024 0
880 2.000000 0 0 1024 0
880 4.000000 0 0 1024 0
880 6.000000 0 0 1024 0
880 8.000000 0 0 1024 0
880 10.000000 0 0 1024 0
900 0.000000 0 0 1024 0
900 2.000000 0 0 1024 0
900 4.000000 0 0 1024 0
900 6.000000 0 0 1024 0
900 8.000000 0 0 1024 0
900 10.000000 0 0 1024 0
900 10.000000 0 0 1024 0
900 12.000000 962 40 22 1
900 14.000000 840 170 14 1
900 16.000000 711 291 22 1
900 18.000000 789 225 10 1
900 20.000000 747 257 20 1
920 10.000000 0 0 1024 0
