T A_init L S Dead Code
850 5.000000 0 0 1024 0
850 10.000000 0 0 1024 0
850 15.000000 247 755 22 1
850 20.000000 268 736 20 1
850 25.000000 386 624 14 1
850 30.000000 286 708 30 1
850 35.000000 351 650 23 1
850 40.000000 298 699 27 1
850 45.000000 339 680 5 1
850 50.000000 238 764 22 1
850 2.500000 0 0 1024 0
850 7.500000 0 0 1024 0
850 12.500000 0 0 1024 0
850 17.500000 138 873 13 1
850 22.500000 115 884 25 1
850 27.500000 197 807 20 1
850 32.500000 155 854 15 1
850 37.500000 147 847 30 1
850 42.500000 204 801 19 1
850 47.500000 208 791 25 1
875 0.000000 0 0 1024 0
875 5.000000 0 0 1024 0
875 10.000000 0 0 1024 0
875 15.000000 26 974 24 1
875 20.000000 74 934 16 1
875 25.000000 59 938 27 1
875 30.000000 70 942 12 1
875 35.000000 71 936 17 1
875 40.000000 92 911 21 1
875 45.000000 93 914 17 1
875 50.000000 56 938 30 1
875 2.500000 0 0 1024 0
875 7.500000 0 0 1024 0
875 12.500000 0 0 1024 0
875 17.500000 28 976 20 1
875 22.500000 77 921 26 1
875 27.500000 98 910 16 1
875 32.500000 57 947 20 1
875 37.500000 64 947 13 1
875 42.500000 68 933 23 1
875 47.500000 52 952 20 1
900 0.000000 0 0 1024 0
900 5.000000 0 0 1024 0
900 10.000000 0 0 1024 0
900 15.000000 787 212 25 1
900 20.000000 721 286 17 1
900 25.000000 758 237 29 1
900 30.000000 728 275 21 1
900 35.000000 726 276 22 1
900 40.000000 716 291 17 1
900 45.000000 740 255 29 1
900 50.000000 720 288 16 1
900 2.500000 0 0 1024 0
900 7.500000 0 0 1024 0
900 12.500000 0 0 1024 0
900 17.500000 977 29 18 1
900 22.500000 757 252 15 1
900 27.500000 734 273 17 1
900 32.500000 715 289 20 1
900 37.500000 684 312 28 1
900 42.500000 742 268 14 1
900 47.500000 739 270 15 1
925 0.000000 0 0 1024 0
925 5.000000 0 0 1024 0
925 10.000000 0 0 1024 0
925 15.000000 0 0 1024 0
925 20.000000 4 829 191 1
925 25.000000 296 566 162 1
925 30.000000 332 663 29 1
925 35.000000 352 650 22 1
925 40.000000 309 691 24 1
925 45.000000 431 577 16 1
925 50.000000 265 740 19 1
925 2.500000 0 0 1024 0
925 7.500000 0 0 1024 0
925 12.500000 0 0 1024 0
925 17.500000 0 0 1024 0
925 22.500000 345 653 26 1
925 27.500000 374 634 16 1
925 32.500000 409 578 37 1
925 37.500000 372 643 9 1
925 42.500000 307 686 31 1
925 47.500000 317 689 18 1
950 0.000000 0 0 1024 0
950 5.000000 0 0 1024 0
950 10.000000 0 0 1024 0
950 15.000000 0 0 1024 0
950 20.000000 77 926 21 1
950 25.000000 42 964 18 1
950 30.000000 40 952 32 1
950 35.000000 40 967 17 1
950 40.000000 57 946 21 1
950 45.000000 71 939 14 1
950 50.000000 53 950 21 1
950 2.500000 0 0 1024 0
950 7.500000 0 0 1024 0
950 12.500000 0 0 1024 0
950 17.500000 0 0 1024 0
950 22.500000 29 974 21 1
950 27.500000 31 974 19 1
950 32.500000 31 970 23 1
950 37.500000 58 937 29 1
950 42.500000 61 941 22 1
950 47.500000 50 958 16 1
975 0.000000 0 0 1024 0
975 5.000000 0 0 1024 0
975 10.000000 0 0 1024 0
975 15.000000 0 0 1024 0
975 20.000000 0 0 1024 0
975 25.000000 76 927 21 1
975 30.000000 102 902 20 1
975 35.000000 89 918 17 1
975 40.000000 91 904 29 1
975 45.000000 71 926 27 1
975 50.000000 104 897 23 1
975 2.500000 0 0 1024 0
975 7.500000 0 0 1024 0
975 12.500000 0 0 1024 0
975 17.500000 0 0 1024 0
975 22.500000 88 918 18 1
975 27.500000 85 929 10 1
975 32.500000 96 908 20 1
975 37.500000 90 919 15 1
975 42.500000 112 894 18 1
975 47.500000 90 911 23 1
1000 0.000000 0 0 1024 0
1000 5.000000 0 0 1024 0
1000 10.000000 0 0 1024 0
1000 15.000000 0 0 1024 0
1000 20.000000 0 0 1024 0
1000 25.000000 31 171 822 1
1000 30.000000 12 101 911 1
1000 35.000000 22 181 821 1
1000 40.000000 29 151 844 1
1000 45.000000 23 165 836 1
1000 50.000000 38 280 706 1
1000 2.500000 0 0 1024 0
1000 7.500000 0 0 1024 0
1000 12.500000 0 0 1024 0
1000 17.500000 0 0 1024 0
1000 22.500000 0 0 1024 0
1000 27.500000 38 133 853 1
1000 32.500000 10 80 934 1
1000 37.500000 83 265 676 1
1000 42.500000 30 218 776 1
1000 47.500000 55 309 660 1
1025 0.000000 0 0 1024 0
1025 5.000000 0 0 1024 0
1025 10.000000 0 0 1024 0
1025 15.000000 0 0 1024 0
1025 20.000000 0 0 1024 0
1025 25.000000 0 0 1024 0
1025 30.000000 0 0 1024 0
1025 35.000000 48 328 648 1
1025 40.000000 318 576 130 1
1025 45.000000 212 682 130 1
1025 50.000000 274 685 65 1
1025 2.500000 0 0 1024 0
1025 7.500000 0 0 1024 0
1025 12.500000 0 0 1024 0
1025 17.500000 0 0 1024 0
1025 22.500000 0 0 1024 0
1025 27.500000 0 0 1024 0
1025 32.500000 0 0 1024 0
1025 37.500000 434 526 64 1
1025 42.500000 240 664 120 1
1025 47.500000 354 646 24 1
1050 0.000000 0 0 1024 0
1050 5.000000 0 0 1024 0
1050 10.000000 0 0 1024 0
1050 15.000000 0 0 1024 0
1050 20.000000 0 0 1024 0
1050 25.000000 0 0 1024 0
1050 30.000000 0 0 1024 0
1050 35.000000 0 0 1024 0
